label,sre-score
Shame,13
Frustration,17
Pride,21
Joy,22
Neutral,0
Pride,0
Shame,0
Frustration,-1
Joy,1
Neutral,0
Shame,2
Frustration,-2
Pride,-4
Joy,8
Neutral,0
Frustration,2
Shame,-2
Pride,19
Joy,18
Neutral,0
Shame,5
Frustration,3
Pride,5
Joy,12
Neutral,0
Pride,14
Shame,2
Frustration,7
Joy,22
Neutral,0
Frustration,9
Pride,12
Shame,5
Joy,17
Neutral,0
Frustration,1
Shame,3
Pride,-1
Joy,2
Neutral,0
Shame,-8
Pride,24
Frustration,-17
Joy,24
Neutral,0
Pride,17
Frustration,0
Shame,0
Joy,14
Neutral,0
Shame,19
Frustration,22
Pride,22
Joy,22
Neutral,0
Frustration,18
Pride,18
Shame,7
Joy,18
Neutral,0
Shame,9
Frustration,8
Pride,10
Joy,12
Neutral,0
Frustration,-5
Shame,-4
Pride,24
Joy,24
Neutral,0
Pride,11
Shame,9
Frustration,9
Joy,15
Neutral,0
Frustration,2
Shame,12
Pride,23
Joy,11
Neutral,0
Shame,2
Pride,20
Frustration,5
Joy,21
Neutral,0
Pride,4
Shame,-2
Frustration,-4
Joy,4
Neutral,0
Shame,2
Pride,8
Frustration,1
Joy,7
Neutral,0
Frustration,3
Pride,6
Shame,0
Joy,5
Neutral,0
