label,word-count,sentence-count,word-length_mean,sentence-length_mean,lexical-diversity,sentiment-score,dominant-topic,bigram-count,noun-count,emotion-word-count,question-count,exclamation-count,adj-count,adv-count,flesch-reading-ease,modal_count,negation-count,compound-count,unique-words-count,pronoun-count,bert-aggregated-value,vader-neg,vader-neu,vader-pos,vader-compound,flesch-kincaid-grade,gunning-fog
Shame,253,8,3.5019762845849804,31.625,0.47035573122529645,-0.0674107142857143,4,95,43,0,0,0,16,11,-17.5,1,3,1,119,39,-0.008789438754320145,0.277,0.589,0.133,-0.9507,39.5,48.31666666666666
Neutral,271,30,3.678966789667897,9.033333333333333,0.5092250922509225,0.22894736842105262,1,117,60,0,0,0,20,9,-65.21,1,0,1,138,35,-0.010640052147209644,0.0,0.73,0.27,0.9894,51.7,60.72542372881355
Frustration,552,14,3.3097826086956523,39.42857142857143,0.3188405797101449,-0.0800015460729746,1,204,95,0,0,0,23,15,-119.68,2,3,0,176,69,-0.009100519120693207,0.125,0.606,0.269,0.9665,80.9,90.04878048780489
Pride,418,11,3.3181818181818183,38.0,0.3588516746411483,0.2638216991341991,2,157,68,1,0,0,28,21,-71.97,1,0,0,150,57,-0.00917185377329588,0.029,0.562,0.409,0.9968,62.5,71.27594936708861
Joy,429,17,3.3613053613053614,25.235294117647058,0.351981351981352,0.2715017825311943,0,148,72,5,1,0,33,18,-62.84,2,5,0,151,57,-0.009026789106428623,0.101,0.477,0.422,0.9962,59.0,66.16375838926174
Pride,175,4,3.8971428571428572,43.75,0.5542857142857143,0.2725490196078431,0,78,28,2,0,0,12,11,-17.17,0,0,1,97,15,-0.009444923140108585,0.064,0.478,0.458,0.992,35.3,46.25822784810127
Neutral,276,30,3.681159420289855,9.2,0.5144927536231884,0.1993801652892562,4,119,59,0,0,0,23,9,-67.24,1,0,1,142,35,-0.010714673437178135,0.0,0.737,0.263,0.9892,52.5,61.33333333333333
Shame,172,5,3.5813953488372094,34.4,0.5290697674418605,-0.14404761904761904,4,77,32,1,0,0,14,8,0.77,1,2,0,91,18,-0.008728169836103916,0.247,0.521,0.231,-0.5574,32.5,42.94358974358975
Frustration,151,5,4.013245033112582,30.2,0.5761589403973509,-0.10119047619047618,2,61,23,0,0,0,11,7,-8.37,1,0,0,87,26,-0.00900955218821764,0.265,0.473,0.262,-0.0772,29.8,41.63870967741936
Joy,77,4,4.467532467532467,19.25,0.7402597402597403,0.3333333333333333,4,38,11,1,0,0,7,8,-10.41,0,0,0,57,8,-0.009887906722724438,0.0,0.526,0.474,0.9725,24.4,36.06153846153847
Shame,225,5,3.2977777777777777,45.0,0.4488888888888889,0.054545454545454515,2,86,32,4,0,0,14,13,0.09,1,2,0,101,39,-0.008947012014687061,0.135,0.504,0.361,0.967,34.9,44.15632183908046
Neutral,272,30,3.639705882352941,9.066666666666666,0.5110294117647058,0.22513774104683196,0,118,57,0,0,0,24,9,-66.23,1,0,1,139,35,-0.010650519281625748,0.0,0.719,0.281,0.9904,52.1,60.3563025210084
Frustration,195,4,3.6256410256410256,48.75,0.5487179487179488,-0.04675324675324675,3,65,30,2,0,0,9,5,-3.97,2,0,0,107,29,-0.008702674880623817,0.191,0.646,0.162,-0.34,30.2,39.915151515151514
Pride,163,5,3.607361963190184,32.6,0.50920245398773,0.17457482993197276,3,66,24,0,0,0,9,9,20.39,1,0,0,83,22,-0.009274070151150227,0.186,0.548,0.266,0.7732,27.1,38.35223880597015
Joy,344,9,3.5552325581395348,38.22222222222222,0.38372093023255816,0.13035714285714287,4,117,50,0,1,0,21,11,-48.29,1,0,0,132,44,-0.009193810634315014,0.101,0.611,0.288,0.9816,49.3,60.38644067796611
Frustration,90,6,3.3222222222222224,15.0,0.6222222222222222,-0.15545454545454546,1,33,10,1,0,0,7,2,36.97,1,1,0,56,20,-0.009652555920183659,0.163,0.691,0.146,-0.4019,16.6,20.30588235294118
Neutral,272,30,3.6838235294117645,9.066666666666666,0.5073529411764706,0.22931818181818184,4,117,57,0,0,0,22,9,-65.21,1,0,1,138,35,-0.01059147622436285,0.0,0.732,0.268,0.9894,51.7,61.06440677966103
Shame,61,2,3.098360655737705,30.5,0.7049180327868853,-0.5,4,24,13,1,0,0,4,3,63.02,0,0,0,43,10,-0.008964153937995434,0.133,0.766,0.101,-0.2023,10.7,16.8
Pride,77,5,3.4285714285714284,15.4,0.7532467532467533,0.7,0,31,15,0,1,0,6,3,55.92,0,0,0,58,14,-0.009806202724575996,0.0,0.799,0.201,0.743,13.4,17.3
Joy,80,3,3.525,26.666666666666668,0.6375,0.027777777777777773,4,31,8,1,0,0,7,9,47.46,0,0,0,51,15,-0.009116620756685734,0.241,0.457,0.302,0.2023,14.6,23.55
Shame,71,7,3.408450704225352,10.142857142857142,0.5774647887323944,-0.13333333333333333,2,28,10,0,0,0,7,3,42.04,0,3,1,41,12,-0.009087338112294674,0.281,0.644,0.076,-0.7446,14.6,21.875862068965517
Neutral,275,30,3.610909090909091,9.166666666666666,0.5236363636363637,0.1966403162055336,0,119,56,0,0,0,25,9,-58.78,1,0,0,144,35,-0.010753548704087734,0.0,0.721,0.279,0.9906,51.3,61.66666666666668
Frustration,89,4,3.1797752808988764,22.25,0.5842696629213483,-0.2520833333333334,2,37,14,0,1,0,6,3,49.83,0,0,0,52,23,-0.008289995603263378,0.197,0.631,0.172,-0.25,15.8,24.568421052631578
Pride,141,5,3.028368794326241,28.2,0.5177304964539007,0.45,1,50,18,1,0,0,13,2,45.09,5,1,1,73,25,-0.009153674356639385,0.084,0.574,0.343,0.9403,19.6,28.67450980392157
Joy,60,6,3.75,10.0,0.7,0.25,2,23,9,0,1,0,5,2,38.66,1,0,0,42,9,-0.010967970825731754,0.0,0.423,0.577,0.9552,13.8,18.266666666666666
Pride,215,8,3.7534883720930234,26.875,0.5581395348837209,0.30416666666666664,1,79,28,0,0,0,19,3,-18.18,2,1,0,120,20,-0.00901701208204031,0.0,0.654,0.346,0.986,35.7,46.0
Neutral,272,30,3.6213235294117645,9.066666666666666,0.5183823529411765,0.21756198347107436,4,116,59,0,0,0,19,9,-64.2,1,0,0,141,35,-0.010681488551199436,0.0,0.733,0.267,0.9892,51.3,61.10769230769231
Shame,220,13,3.3727272727272726,16.923076923076923,0.5409090909090909,0.11223958333333334,4,96,32,0,1,0,16,14,-10.06,1,2,1,119,27,-0.00911057461053133,0.123,0.681,0.196,0.8012,38.8,50.28453608247423
Frustration,412,11,3.4611650485436893,37.45454545454545,0.41262135922330095,-0.06597402597402598,1,155,74,3,0,0,32,11,-86.86,2,1,1,170,52,-0.009420021437108517,0.209,0.602,0.189,-0.7931,64.1,72.0923076923077
Joy,214,10,3.3598130841121496,21.4,0.5373831775700935,0.20438311688311692,4,75,29,2,1,0,13,6,2.8,0,0,0,115,35,-0.009665356017649174,0.114,0.545,0.342,0.9733,31.8,41.347368421052636
Frustration,80,5,3.6375,16.0,0.6875,-0.3075,2,33,13,0,0,0,4,2,45.43,3,0,0,55,13,-0.0088956942781806,0.191,0.62,0.189,-0.0276,15.4,27.36470588235294
Neutral,275,30,3.6436363636363636,9.166666666666666,0.5127272727272727,0.19122474747474746,4,120,54,0,0,0,26,9,-59.8,1,0,0,141,35,-0.010987461544573307,0.0,0.723,0.277,0.9904,51.7,60.647933884297515
Pride,101,6,3.4554455445544554,16.833333333333332,0.6534653465346535,0.22485795454545454,4,40,17,0,0,0,8,5,29.86,1,0,0,66,12,-0.009143239818513393,0.0,0.665,0.335,0.9201,19.3,28.15609756097561
Shame,51,3,3.450980392156863,17.0,0.6666666666666666,-0.47999999999999987,2,22,9,0,0,0,3,2,56.59,0,0,0,34,9,-0.009092644788324833,0.288,0.367,0.345,0.0,11.1,21.63478260869565
Joy,94,3,3.4361702127659575,31.333333333333332,0.7127659574468085,0.396875,0,40,20,0,1,0,9,2,55.24,0,0,0,67,15,-0.008699656464159489,0.0,0.489,0.511,0.984,15.7,22.302439024390246
Frustration,69,6,2.898550724637681,11.5,0.5217391304347826,-0.45999999999999996,3,18,8,1,1,0,5,1,52.19,0,0,0,36,13,-0.010924357920885086,0.434,0.395,0.171,-0.8402,10.7,18.02105263157895
Neutral,273,30,3.67032967032967,9.1,0.5201465201465202,0.24047619047619045,4,117,57,0,0,0,21,9,-65.21,1,0,0,142,35,-0.010788917541503906,0.0,0.734,0.266,0.9891,51.7,60.72542372881355
Shame,78,6,3.7051282051282053,13.0,0.5128205128205128,-0.44000000000000006,3,31,10,6,0,0,11,1,13.62,0,1,0,40,11,-0.012556303292512894,0.523,0.398,0.08,-0.9694,19.3,22.3
Pride,41,4,3.731707317073171,10.25,0.5853658536585366,0.3,2,14,6,0,0,0,4,1,5.49,0,0,0,24,5,-0.013468682765960693,0.0,0.429,0.571,0.9062,16.2,21.333333333333332
Joy,157,10,2.5605095541401273,15.7,0.31210191082802546,0.06999999999999998,3,44,17,1,0,1,8,2,42.72,1,1,1,49,26,-0.011253755539655685,0.0,0.419,0.581,0.9843,18.5,24.444444444444446
Shame,272,11,3.1691176470588234,24.727272727272727,0.43014705882352944,-0.061111111111111116,1,104,46,0,0,0,15,10,-9.72,1,1,0,117,59,-0.009123139083385468,0.155,0.692,0.153,0.4186,40.7,49.33333333333334
Neutral,273,30,3.673992673992674,9.1,0.5164835164835165,0.1975,2,119,60,0,0,0,22,9,-67.24,1,0,0,141,35,-0.01086681243032217,0.0,0.733,0.267,0.9895,52.5,62.33333333333334
Pride,296,7,3.320945945945946,42.285714285714285,0.4155405405405405,0.23522727272727267,2,123,57,0,0,0,18,3,-20.54,0,1,2,123,50,-0.009408176876604557,0.045,0.583,0.372,0.9914,46.9,55.47096774193549
Frustration,170,6,3.288235294117647,28.333333333333332,0.48823529411764705,0.017187499999999994,1,73,27,0,0,0,10,1,21.75,1,1,0,83,30,-0.00884194951504469,0.231,0.511,0.258,0.3582,28.6,38.627027027027026
Joy,246,9,3.3048780487804876,27.333333333333332,0.4878048780487805,0.22553661616161616,3,93,43,0,0,0,16,3,-7.01,2,0,1,120,39,-0.008735374547541142,0.058,0.724,0.218,0.9349,37.6,45.55744680851064
Pride,122,5,4.245901639344262,24.4,0.6229508196721312,0.24814814814814815,4,51,17,0,0,0,10,7,-23.6,1,0,1,76,18,-0.00900953821837902,0.0,0.789,0.211,0.8834,29.5,43.56923076923078
Neutral,274,30,3.68978102189781,9.133333333333333,0.5109489051094891,0.18333333333333332,2,119,56,0,0,0,24,9,-67.24,1,0,0,140,35,-0.010699308477342129,0.0,0.736,0.264,0.9891,52.5,61.0
Frustration,243,7,3.94238683127572,34.714285714285715,0.5349794238683128,-0.1875,3,99,38,0,0,0,14,16,-46.94,1,3,1,130,33,-0.009831852279603481,0.228,0.705,0.067,-0.9535,44.7,52.800000000000004
Shame,180,6,3.688888888888889,30.0,0.5166666666666667,-0.07999999999999996,4,68,26,0,1,0,17,3,-7.02,1,2,2,93,27,-0.009330082684755325,0.193,0.672,0.134,-0.7096,31.4,43.51304347826087
Joy,268,11,3.705223880597015,24.363636363636363,0.503731343283582,0.10565476190476189,4,99,47,2,1,0,14,8,-30.02,0,0,0,135,41,-0.009684693068265915,0.048,0.665,0.286,0.9788,42.3,51.6
Shame,66,4,3.5757575757575757,16.5,0.7121212121212122,0.040000000000000015,0,25,8,0,1,0,5,2,53.55,0,0,0,47,11,-0.0095372861251235,0.244,0.488,0.268,-0.0258,12.3,20.092307692307696
Neutral,270,30,3.714814814814815,9.0,0.5111111111111111,0.16136363636363635,1,115,56,0,0,0,20,9,-63.18,1,0,0,138,35,-0.010636790655553341,0.0,0.729,0.271,0.9894,50.9,59.43448275862069
Frustration,88,5,3.7954545454545454,17.6,0.6477272727272727,-0.153125,4,35,16,1,1,0,6,3,18.02,2,0,0,57,15,-0.010155675001442432,0.374,0.422,0.204,-0.892,19.7,25.28888888888889
Pride,110,6,3.518181818181818,18.333333333333332,0.5818181818181818,0.28015873015873016,4,44,18,1,0,0,10,3,17.34,0,0,0,64,18,-0.010773167945444584,0.0,0.729,0.271,0.926,22.0,22.66666666666667
Joy,65,2,3.7846153846153845,32.5,0.6923076923076923,0.06562499999999999,4,22,7,0,0,0,4,2,31.21,0,1,0,45,13,-0.010842938907444477,0.067,0.82,0.113,0.2944,14.6,25.11304347826087
Frustration,223,9,3.57847533632287,24.77777777777778,0.515695067264574,0.03529411764705882,4,86,36,0,1,0,16,13,-25.29,0,1,1,115,31,-0.009363788180053234,0.1,0.614,0.286,0.9539,38.4,45.99540229885058
Neutral,271,30,3.660516605166052,9.033333333333333,0.5092250922509225,0.19940711462450592,3,117,60,0,0,0,20,9,-56.75,1,0,0,138,35,-0.010596037842333317,0.0,0.714,0.286,0.9907,50.5,61.40338983050847
Shame,154,8,3.603896103896104,19.25,0.6103896103896104,0.12999999999999998,3,62,26,0,2,0,9,9,-0.93,0,0,0,94,20,-0.009266368113458157,0.039,0.58,0.381,0.9753,29.0,37.993650793650794
Pride,172,5,3.4593023255813953,34.4,0.5174418604651163,0.0640625,1,56,26,0,0,0,11,7,5.16,0,1,0,89,24,-0.009491583332419395,0.162,0.605,0.233,0.78,26.7,32.51929824561403
Joy,91,2,3.7472527472527473,45.5,0.5934065934065934,0.19999999999999998,4,31,10,0,0,0,6,6,30.54,1,0,1,54,18,-0.010055371560156345,0.0,0.828,0.172,0.7003,17.0,27.3
Shame,316,6,3.449367088607595,52.666666666666664,0.4050632911392405,0.24229910714285713,2,111,51,0,1,0,12,11,-33.74,3,1,1,128,43,-0.008558908477425575,0.086,0.61,0.304,0.9777,45.8,57.15714285714286
Neutral,270,30,3.6814814814814816,9.0,0.5185185185185185,0.21749999999999997,4,116,60,0,0,0,18,9,-64.2,1,0,0,140,35,-0.01052806992083788,0.0,0.712,0.288,0.9909,51.3,61.10769230769231
Frustration,241,5,3.6182572614107884,48.2,0.4107883817427386,0.2685974025974026,1,89,36,0,0,0,13,9,-2.95,4,0,0,99,34,-0.009549201466143131,0.068,0.449,0.483,0.9941,36.0,46.44444444444445
Pride,199,3,3.798994974874372,66.33333333333333,0.5175879396984925,0.1716666666666667,4,73,31,0,0,0,15,3,-3.63,3,0,1,103,30,-0.00936772022396326,0.054,0.633,0.313,0.9758,32.2,40.24864864864865
Joy,167,3,3.6107784431137726,55.666666666666664,0.5149700598802395,0.25357142857142856,1,65,27,1,0,0,4,8,12.95,3,0,0,86,28,-0.00973548274487257,0.032,0.841,0.127,0.7841,27.9,35.67272727272728
Frustration,495,14,3.4383838383838383,35.357142857142854,0.36767676767676766,-0.07670807453416151,2,186,72,2,1,0,27,15,-109.87,5,4,5,182,73,-0.009187343530356884,0.114,0.78,0.106,-0.7648,75.0,84.92834224598931
